"Plot Title: 25FEB19-04MAR19_20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
167,02/26/19 01:45:49 PM,11.55,8.62,,,,
168,02/26/19 01:55:49 PM,11.56,8.62,,,,
169,02/26/19 02:05:49 PM,11.56,8.62,,,,
170,02/26/19 02:15:49 PM,11.58,8.58,,,,
171,02/26/19 02:25:49 PM,11.63,8.52,,,,
172,02/26/19 02:35:49 PM,11.66,8.46,,,,
173,02/26/19 02:45:49 PM,11.71,8.40,,,,
174,02/26/19 02:55:49 PM,11.77,8.32,,,,
175,02/26/19 03:05:49 PM,11.80,8.26,,,,
176,02/26/19 03:15:49 PM,11.83,8.20,,,,
177,02/26/19 03:25:49 PM,11.86,8.16,,,,
178,02/26/19 03:35:49 PM,11.87,8.12,,,,
179,02/26/19 03:45:49 PM,11.87,8.10,,,,
180,02/26/19 03:55:49 PM,11.87,8.08,,,,
181,02/26/19 04:05:49 PM,11.87,8.06,,,,
182,02/26/19 04:15:49 PM,11.86,8.06,,,,
183,02/26/19 04:25:49 PM,11.85,8.08,,,,
184,02/26/19 04:35:49 PM,11.83,8.08,,,,
185,02/26/19 04:45:49 PM,11.81,8.12,,,,
186,02/26/19 04:55:49 PM,11.79,8.16,,,,
187,02/26/19 05:05:49 PM,11.76,8.20,,,,
188,02/26/19 05:15:49 PM,11.73,8.24,,,,
189,02/26/19 05:25:49 PM,11.71,8.28,,,,
190,02/26/19 05:35:49 PM,11.70,8.32,,,,
191,02/26/19 05:45:49 PM,11.67,8.36,,,,
192,02/26/19 05:55:49 PM,11.65,8.38,,,,
193,02/26/19 06:05:49 PM,11.65,8.42,,,,
194,02/26/19 06:15:49 PM,11.63,8.44,,,,
195,02/26/19 06:25:49 PM,11.61,8.46,,,,
196,02/26/19 06:35:49 PM,11.61,8.48,,,,
197,02/26/19 06:45:49 PM,11.60,8.48,,,,
198,02/26/19 06:55:49 PM,11.59,8.50,,,,
199,02/26/19 07:05:49 PM,11.59,8.50,,,,
200,02/26/19 07:15:49 PM,11.58,8.50,,,,
201,02/26/19 07:25:49 PM,11.57,8.50,,,,
202,02/26/19 07:35:49 PM,11.57,8.50,,,,
203,02/26/19 07:45:49 PM,11.57,8.50,,,,
204,02/26/19 07:55:49 PM,11.57,8.50,,,,
205,02/26/19 08:05:49 PM,11.56,8.48,,,,
206,02/26/19 08:15:49 PM,11.57,8.48,,,,
207,02/26/19 08:25:49 PM,11.57,8.48,,,,
208,02/26/19 08:35:49 PM,11.56,8.48,,,,
209,02/26/19 08:45:49 PM,11.56,8.46,,,,
210,02/26/19 08:55:49 PM,11.57,8.46,,,,
211,02/26/19 09:05:49 PM,11.57,8.46,,,,
212,02/26/19 09:15:49 PM,11.57,8.46,,,,
213,02/26/19 09:25:49 PM,11.57,8.44,,,,
214,02/26/19 09:35:49 PM,11.56,8.44,,,,
215,02/26/19 09:45:49 PM,11.56,8.44,,,,
216,02/26/19 09:55:49 PM,11.56,8.42,,,,
217,02/26/19 10:05:49 PM,11.56,8.42,,,,
218,02/26/19 10:15:49 PM,11.55,8.42,,,,
219,02/26/19 10:25:49 PM,11.56,8.42,,,,
220,02/26/19 10:35:49 PM,11.56,8.40,,,,
221,02/26/19 10:45:49 PM,11.55,8.40,,,,
222,02/26/19 10:55:49 PM,11.56,8.40,,,,
223,02/26/19 11:05:49 PM,11.55,8.40,,,,
224,02/26/19 11:15:49 PM,11.55,8.38,,,,
225,02/26/19 11:25:49 PM,11.55,8.38,,,,
226,02/26/19 11:35:49 PM,11.54,8.38,,,,
227,02/26/19 11:45:49 PM,11.55,8.38,,,,
228,02/26/19 11:55:49 PM,11.54,8.38,,,,
229,02/27/19 12:05:49 AM,11.53,8.38,,,,
230,02/27/19 12:15:49 AM,11.55,8.38,,,,
231,02/27/19 12:25:49 AM,11.54,8.38,,,,
232,02/27/19 12:35:49 AM,11.53,8.38,,,,
233,02/27/19 12:45:49 AM,11.54,8.38,,,,
234,02/27/19 12:55:49 AM,11.54,8.38,,,,
235,02/27/19 01:05:49 AM,11.53,8.38,,,,
236,02/27/19 01:15:49 AM,11.52,8.38,,,,
237,02/27/19 01:25:49 AM,11.52,8.38,,,,
238,02/27/19 01:35:49 AM,11.52,8.40,,,,
239,02/27/19 01:45:49 AM,11.53,8.40,,,,
240,02/27/19 01:55:49 AM,11.52,8.40,,,,
241,02/27/19 02:05:49 AM,11.52,8.40,,,,
242,02/27/19 02:15:49 AM,11.51,8.40,,,,
243,02/27/19 02:25:49 AM,11.51,8.40,,,,
244,02/27/19 02:35:49 AM,11.51,8.40,,,,
245,02/27/19 02:45:49 AM,11.51,8.40,,,,
246,02/27/19 02:55:49 AM,11.51,8.42,,,,
247,02/27/19 03:05:49 AM,11.50,8.42,,,,
248,02/27/19 03:15:49 AM,11.52,8.40,,,,
249,02/27/19 03:25:49 AM,11.52,8.40,,,,
250,02/27/19 03:35:49 AM,11.53,8.40,,,,
251,02/27/19 03:45:49 AM,11.53,8.38,,,,
252,02/27/19 03:55:49 AM,11.53,8.38,,,,
253,02/27/19 04:05:49 AM,11.52,8.38,,,,
254,02/27/19 04:15:49 AM,11.52,8.38,,,,
255,02/27/19 04:25:49 AM,11.52,8.38,,,,
256,02/27/19 04:35:49 AM,11.51,8.38,,,,
257,02/27/19 04:45:49 AM,11.51,8.38,,,,
258,02/27/19 04:55:49 AM,11.52,8.38,,,,
259,02/27/19 05:05:49 AM,11.51,8.38,,,,
260,02/27/19 05:15:49 AM,11.51,8.38,,,,
261,02/27/19 05:25:49 AM,11.51,8.38,,,,
262,02/27/19 05:35:49 AM,11.51,8.38,,,,
263,02/27/19 05:45:49 AM,11.51,8.38,,,,
264,02/27/19 05:55:49 AM,11.51,8.38,,,,
265,02/27/19 06:05:49 AM,11.50,8.38,,,,
266,02/27/19 06:15:49 AM,11.52,8.38,,,,
267,02/27/19 06:25:49 AM,11.51,8.38,,,,
268,02/27/19 06:35:49 AM,11.51,8.38,,,,
269,02/27/19 06:45:49 AM,11.51,8.38,,,,
270,02/27/19 06:55:49 AM,11.51,8.38,,,,
271,02/27/19 07:05:49 AM,11.50,8.38,,,,
272,02/27/19 07:15:49 AM,11.51,8.38,,,,
273,02/27/19 07:25:49 AM,11.50,8.38,,,,
274,02/27/19 07:35:49 AM,11.50,8.38,,,,
275,02/27/19 07:45:49 AM,11.50,8.38,,,,
276,02/27/19 07:55:49 AM,11.50,8.38,,,,
277,02/27/19 08:05:49 AM,11.50,8.38,,,,
278,02/27/19 08:15:49 AM,11.49,8.38,,,,
279,02/27/19 08:25:49 AM,11.50,8.38,,,,
280,02/27/19 08:35:49 AM,11.51,8.38,,,,
281,02/27/19 08:45:49 AM,11.50,8.38,,,,
282,02/27/19 08:55:49 AM,11.51,8.40,,,,
283,02/27/19 09:05:49 AM,11.51,8.40,,,,
284,02/27/19 09:15:49 AM,11.50,8.40,,,,
285,02/27/19 09:25:49 AM,11.50,8.42,,,,
286,02/27/19 09:35:49 AM,11.50,8.42,,,,
287,02/27/19 09:45:49 AM,11.50,8.44,,,,
288,02/27/19 09:55:49 AM,11.50,8.44,,,,
289,02/27/19 10:05:49 AM,11.50,8.46,,,,
290,02/27/19 10:15:49 AM,11.50,8.46,,,,
291,02/27/19 10:25:49 AM,11.50,8.48,,,,
292,02/27/19 10:35:49 AM,11.50,8.48,,,,
293,02/27/19 10:45:49 AM,11.49,8.50,,,,
294,02/27/19 10:55:49 AM,11.50,8.50,,,,
295,02/27/19 11:05:49 AM,11.49,8.50,,,,
296,02/27/19 11:15:49 AM,11.49,8.52,,,,
297,02/27/19 11:25:49 AM,11.49,8.52,,,,
298,02/27/19 11:35:49 AM,11.49,8.54,,,,
299,02/27/19 11:45:49 AM,11.49,8.54,,,,
300,02/27/19 11:55:49 AM,11.49,8.56,,,,
301,02/27/19 12:05:49 PM,11.49,8.56,,,,
302,02/27/19 12:15:49 PM,11.50,8.56,,,,
303,02/27/19 12:25:49 PM,11.50,8.58,,,,
304,02/27/19 12:35:49 PM,11.49,8.58,,,,
305,02/27/19 12:45:49 PM,11.49,8.58,,,,
306,02/27/19 12:55:49 PM,11.49,8.60,,,,
307,02/27/19 01:05:49 PM,11.49,8.60,,,,
308,02/27/19 01:15:49 PM,11.49,8.62,,,,
309,02/27/19 01:25:49 PM,11.48,8.62,,,,
310,02/27/19 01:35:49 PM,11.49,8.62,,,,
311,02/27/19 01:45:49 PM,11.49,8.62,,,,
312,02/27/19 01:55:49 PM,11.49,8.64,,,,
313,02/27/19 02:05:49 PM,11.49,8.64,,,,
314,02/27/19 02:15:49 PM,11.49,8.64,,,,
315,02/27/19 02:25:49 PM,11.49,8.64,,,,
316,02/27/19 02:35:49 PM,11.49,8.64,,,,
317,02/27/19 02:45:49 PM,11.50,8.64,,,,
318,02/27/19 02:55:49 PM,11.49,8.64,,,,
319,02/27/19 03:05:49 PM,11.50,8.64,,,,
320,02/27/19 03:15:49 PM,11.50,8.64,,,,
321,02/27/19 03:25:49 PM,11.49,8.64,,,,
322,02/27/19 03:35:49 PM,11.49,8.64,,,,
323,02/27/19 03:45:49 PM,11.49,8.64,,,,
324,02/27/19 03:55:49 PM,11.50,8.64,,,,
325,02/27/19 04:05:49 PM,11.49,8.64,,,,
326,02/27/19 04:15:49 PM,11.50,8.64,,,,
327,02/27/19 04:25:49 PM,11.49,8.66,,,,
328,02/27/19 04:35:49 PM,11.50,8.66,,,,
329,02/27/19 04:45:49 PM,11.50,8.66,,,,
330,02/27/19 04:55:49 PM,11.50,8.66,,,,
331,02/27/19 05:05:49 PM,11.50,8.66,,,,
332,02/27/19 05:15:49 PM,11.50,8.66,,,,
333,02/27/19 05:25:49 PM,11.50,8.64,,,,
334,02/27/19 05:35:49 PM,11.50,8.64,,,,
335,02/27/19 05:45:49 PM,11.52,8.64,,,,
336,02/27/19 05:55:49 PM,11.53,8.62,,,,
337,02/27/19 06:05:49 PM,11.53,8.62,,,,
338,02/27/19 06:15:49 PM,11.53,8.60,,,,
339,02/27/19 06:25:49 PM,11.52,8.62,,,,
340,02/27/19 06:35:49 PM,11.52,8.62,,,,
341,02/27/19 06:45:49 PM,11.52,8.62,,,,
342,02/27/19 06:55:49 PM,11.52,8.64,,,,
343,02/27/19 07:05:49 PM,11.51,8.64,,,,
344,02/27/19 07:15:49 PM,11.51,8.64,,,,
345,02/27/19 07:25:49 PM,11.51,8.66,,,,
346,02/27/19 07:35:49 PM,11.51,8.66,,,,
347,02/27/19 07:45:49 PM,11.50,8.66,,,,
348,02/27/19 07:55:49 PM,11.50,8.66,,,,
349,02/27/19 08:05:49 PM,11.50,8.66,,,,
350,02/27/19 08:15:49 PM,11.51,8.66,,,,
351,02/27/19 08:25:49 PM,11.51,8.66,,,,
352,02/27/19 08:35:49 PM,11.50,8.66,,,,
353,02/27/19 08:45:49 PM,11.50,8.68,,,,
354,02/27/19 08:55:49 PM,11.51,8.66,,,,
355,02/27/19 09:05:49 PM,11.50,8.68,,,,
356,02/27/19 09:15:49 PM,11.50,8.68,,,,
357,02/27/19 09:25:49 PM,11.51,8.68,,,,
358,02/27/19 09:35:49 PM,11.50,8.68,,,,
359,02/27/19 09:45:49 PM,11.51,8.66,,,,
360,02/27/19 09:55:49 PM,11.51,8.66,,,,
361,02/27/19 10:05:49 PM,11.51,8.66,,,,
362,02/27/19 10:15:49 PM,11.51,8.66,,,,
363,02/27/19 10:25:49 PM,11.51,8.66,,,,
364,02/27/19 10:35:49 PM,11.51,8.66,,,,
365,02/27/19 10:45:49 PM,11.52,8.66,,,,
366,02/27/19 10:55:49 PM,11.52,8.64,,,,
367,02/27/19 11:05:49 PM,11.51,8.64,,,,
368,02/27/19 11:15:49 PM,11.52,8.64,,,,
369,02/27/19 11:25:49 PM,11.52,8.62,,,,
370,02/27/19 11:35:49 PM,11.51,8.62,,,,
371,02/27/19 11:45:49 PM,11.52,8.60,,,,
372,02/27/19 11:55:49 PM,11.52,8.58,,,,
373,02/28/19 12:05:49 AM,11.52,8.58,,,,
374,02/28/19 12:15:49 AM,11.53,8.58,,,,
375,02/28/19 12:25:49 AM,11.53,8.56,,,,
376,02/28/19 12:35:49 AM,11.53,8.56,,,,
377,02/28/19 12:45:49 AM,11.53,8.54,,,,
378,02/28/19 12:55:49 AM,11.53,8.54,,,,
379,02/28/19 01:05:49 AM,11.54,8.52,,,,
380,02/28/19 01:15:49 AM,11.54,8.52,,,,
381,02/28/19 01:25:49 AM,11.53,8.52,,,,
382,02/28/19 01:35:49 AM,11.54,8.52,,,,
383,02/28/19 01:45:49 AM,11.53,8.52,,,,
384,02/28/19 01:55:49 AM,11.54,8.50,,,,
385,02/28/19 02:05:49 AM,11.54,8.50,,,,
386,02/28/19 02:15:49 AM,11.54,8.48,,,,
387,02/28/19 02:25:49 AM,11.55,8.48,,,,
388,02/28/19 02:35:49 AM,11.56,8.48,,,,
389,02/28/19 02:45:49 AM,11.55,8.48,,,,
390,02/28/19 02:55:49 AM,11.56,8.46,,,,
391,02/28/19 03:05:49 AM,11.56,8.46,,,,
392,02/28/19 03:15:49 AM,11.56,8.46,,,,
393,02/28/19 03:25:49 AM,11.55,8.46,,,,
394,02/28/19 03:35:49 AM,11.56,8.46,,,,
395,02/28/19 03:45:49 AM,11.56,8.46,,,,
396,02/28/19 03:55:49 AM,11.56,8.46,,,,
397,02/28/19 04:05:49 AM,11.55,8.46,,,,
398,02/28/19 04:15:49 AM,11.56,8.46,,,,
399,02/28/19 04:25:49 AM,11.56,8.46,,,,
400,02/28/19 04:35:49 AM,11.56,8.46,,,,
401,02/28/19 04:45:49 AM,11.56,8.44,,,,
402,02/28/19 04:55:49 AM,11.57,8.44,,,,
403,02/28/19 05:05:49 AM,11.56,8.44,,,,
404,02/28/19 05:15:49 AM,11.56,8.42,,,,
405,02/28/19 05:25:49 AM,11.57,8.42,,,,
406,02/28/19 05:35:49 AM,11.58,8.42,,,,
407,02/28/19 05:45:49 AM,11.58,8.40,,,,
408,02/28/19 05:55:49 AM,11.58,8.40,,,,
409,02/28/19 06:05:49 AM,11.58,8.40,,,,
410,02/28/19 06:15:49 AM,11.58,8.38,,,,
411,02/28/19 06:25:49 AM,11.58,8.38,,,,
412,02/28/19 06:35:49 AM,11.58,8.38,,,,
413,02/28/19 06:45:49 AM,11.58,8.38,,,,
414,02/28/19 06:55:49 AM,11.58,8.38,,,,
415,02/28/19 07:05:49 AM,11.58,8.38,,,,
416,02/28/19 07:15:49 AM,11.59,8.36,,,,
417,02/28/19 07:25:49 AM,11.58,8.36,,,,
418,02/28/19 07:35:49 AM,11.58,8.36,,,,
419,02/28/19 07:45:49 AM,11.59,8.36,,,,
420,02/28/19 07:55:49 AM,11.58,8.36,,,,
421,02/28/19 08:05:49 AM,11.59,8.36,,,,
422,02/28/19 08:15:49 AM,11.59,8.36,,,,
423,02/28/19 08:25:49 AM,11.59,8.36,,,,
424,02/28/19 08:35:49 AM,11.58,8.38,,,,
425,02/28/19 08:45:49 AM,11.59,8.38,,,,
426,02/28/19 08:55:49 AM,11.59,8.40,,,,
427,02/28/19 09:05:49 AM,11.59,8.40,,,,
428,02/28/19 09:15:49 AM,11.59,8.42,,,,
429,02/28/19 09:25:49 AM,11.59,8.44,,,,
430,02/28/19 09:35:49 AM,11.58,8.46,,,,
431,02/28/19 09:45:49 AM,11.58,8.48,,,,
432,02/28/19 09:55:49 AM,11.58,8.50,,,,
433,02/28/19 10:05:49 AM,11.57,8.52,,,,
434,02/28/19 10:15:49 AM,11.57,8.54,,,,
435,02/28/19 10:25:49 AM,11.57,8.56,,,,
436,02/28/19 10:35:49 AM,11.56,8.58,,,,
437,02/28/19 10:45:49 AM,11.56,8.58,,,,
438,02/28/19 10:55:49 AM,11.57,8.60,,,,
439,02/28/19 11:05:49 AM,11.56,8.60,,,,
440,02/28/19 11:15:49 AM,11.56,8.60,,,,
441,02/28/19 11:25:49 AM,11.56,8.62,,,,
442,02/28/19 11:35:49 AM,11.55,8.62,,,,
443,02/28/19 11:45:49 AM,11.55,8.64,,,,
444,02/28/19 11:55:49 AM,11.56,8.64,,,,
445,02/28/19 12:05:49 PM,11.55,8.66,,,,
446,02/28/19 12:15:49 PM,11.55,8.66,,,,
447,02/28/19 12:25:49 PM,11.55,8.66,,,,
448,02/28/19 12:35:49 PM,11.56,8.68,,,,
449,02/28/19 12:45:49 PM,11.55,8.68,,,,
450,02/28/19 12:55:49 PM,11.56,8.68,,,,
451,02/28/19 01:05:49 PM,11.55,8.70,,,,
452,02/28/19 01:15:49 PM,11.56,8.70,,,,
453,02/28/19 01:25:49 PM,11.56,8.70,,,,
454,02/28/19 01:35:49 PM,11.56,8.70,,,,
455,02/28/19 01:45:49 PM,11.56,8.70,,,,
456,02/28/19 01:55:49 PM,11.56,8.70,,,,
457,02/28/19 02:05:49 PM,11.55,8.70,,,,
458,02/28/19 02:15:49 PM,11.57,8.70,,,,
459,02/28/19 02:25:49 PM,11.57,8.70,,,,
460,02/28/19 02:35:49 PM,11.56,8.70,,,,
461,02/28/19 02:45:49 PM,11.56,8.70,,,,
462,02/28/19 02:55:49 PM,11.56,8.70,,,,
463,02/28/19 03:05:49 PM,11.56,8.70,,,,
464,02/28/19 03:15:49 PM,11.56,8.70,,,,
465,02/28/19 03:25:49 PM,11.56,8.70,,,,
466,02/28/19 03:35:49 PM,11.56,8.70,,,,
467,02/28/19 03:45:49 PM,11.56,8.70,,,,
468,02/28/19 03:55:49 PM,11.56,8.70,,,,
469,02/28/19 04:05:49 PM,11.57,8.70,,,,
