"","ObservationMonth","sensortype","sd","mean","median","IQR","n","se","ci"
"27","2019-01-January","UDA2182",0.171087721369365,9.2325,9.2,0.200000000000001,120,0.0156181007176933,0.0306114774066788
"28","2019-01-January","UDA2182durfet",NA,NA,NA,NA,120,NA,NA
"29","2019-02-February","20449374",0.307645388399893,8.63489583333333,8.65,0.299999999999999,4032,0.00484495946251186,0.00949612054652325
"30","2019-02-February","OceanOptics1.6.7",NA,NA,NA,NA,48,NA,NA
"31","2019-02-February","OrionStarA112",NA,NA,NA,NA,48,NA,NA
"32","2019-02-February","SENSOREXtorodial",NA,NA,NA,NA,24,NA,NA
"33","2019-02-February","UDA2182",0.332454983102184,8.55,8.6,0.324999999999999,96,0.0339310446269148,0.066504847468753
"34","2019-02-February","UDA2182durfet",NA,NA,NA,NA,96,NA,NA
"35","2019-03-March","20449374",0.25891022581254,8.65231317741015,8.62,0.34,3506,0.00437263521062494,0.00857036501282488
"36","2019-03-March","OceanOptics1.6.7",NA,NA,NA,NA,36,NA,NA
"37","2019-03-March","OrionStarA112",NA,NA,NA,NA,36,NA,NA
"38","2019-03-March","SENSOREXtorodial",NA,NA,NA,NA,29,NA,NA
"39","2019-03-March","UDA2182",0.321357456258064,8.47155172413793,8.5,0.399999999999999,116,0.0298372907577792,0.0584810898852472
"40","2019-03-March","UDA2182durfet",NA,NA,NA,NA,116,NA,NA
"41","2019-04-April","20449374",0.243848781817796,9.4681775353335,9.48,0.370000000000001,4033,0.00383978121257993,0.00752597117665667
"42","2019-04-April","OceanOptics1.6.7",NA,NA,NA,NA,47,NA,NA
"43","2019-04-April","OrionStarA112",NA,NA,NA,NA,47,NA,NA
"44","2019-04-April","SENSOREXtorodial",NA,NA,NA,NA,26,NA,NA
"45","2019-04-April","UDA2182",0.319258324120982,9.21057692307692,9.3,0.5,104,0.0313058543186503,0.0613594744645546
"46","2019-04-April","UDA2182durfet",NA,NA,NA,NA,104,NA,NA
"47","2019-05-May","20449374",0.384242528530972,10.6796601529312,10.69,0.51,3531,0.00646631076776439,0.0126739691048182
"48","2019-05-May","OceanOptics1.6.7",NA,NA,NA,NA,53,NA,NA
"49","2019-05-May","OrionStarA112",NA,NA,NA,NA,53,NA,NA
"50","2019-05-May","SENSOREXtorodial",NA,NA,NA,NA,27,NA,NA
"51","2019-05-May","UDA2182",0.645605159837624,10.4241666666667,10.4,0.5,120,0.0589354182141325,0.1155134196997
"52","2019-05-May","UDA2182durfet",NA,NA,NA,NA,120,NA,NA
"53","2019-06-June","20449374",0.246822292519921,10.900315581854,10.92,0.305,507,0.0109617628483367,0.0214850551827399
"54","2019-06-June","OceanOptics1.6.7",NA,NA,NA,NA,36,NA,NA
"55","2019-06-June","OrionStarA112",0.249258943955175,11.9295454545455,11.9,0.424999999999997,116,0.0231431119457055,0.0453604994135828
"56","2019-06-June","SENSOREXtorodial",NA,NA,NA,NA,44,NA,NA
"57","2019-06-June","UDA2182",0.380158554179423,11.23125,11.3,0.699999999999999,96,0.0387997699622408,0.0760475491259921
"58","2019-06-June","UDA2182durfet",NA,NA,NA,NA,96,NA,NA
"59","2019-07-July","OceanOptics1.6.7",NA,NA,NA,NA,11,NA,NA
"60","2019-07-July","OrionStarA112",0.331541529972124,12.2088235294118,12.25,0.300000000000001,63,0.0417703065521956,0.0818698008423033
"61","2019-07-July","SENSOREXtorodial",NA,NA,NA,NA,22,NA,NA
"62","2019-07-July","UDA2182",0.340540367556453,11.9625,12,0.525,32,0.0601996007917317,0.117991217551794
"63","2019-07-July","UDA2182durfet",NA,NA,NA,NA,32,NA,NA
