"","ObservationMonth","treatment","sensortype","sd","mean","n","se","ci"
"27","2019-03-March","ambient","OceanOptics1.6.7",0.0387665949015743,7.78264051438889,18,0.00913737404613834,0.0179092531304312
"28","2019-03-March","ambient","UDA2182durfet",0.0678977063100625,7.86379310344828,29,0.0126082875346932,0.0247122435679987
"29","2019-03-March","highCO2","OceanOptics1.6.7",0.112274772439684,7.12637028011111,18,0.0264634176494257,0.0518682985928743
"30","2019-03-March","highCO2","UDA2182durfet",0.0603484934159767,7.17896551724138,87,0.00647003762498448,0.0126812737449696
"31","2019-04-April","ambient","OceanOptics1.6.7",0.0530375960419023,7.79019127195652,23,0.0110591032616731,0.0216758423928793
"32","2019-04-April","ambient","UDA2182durfet",0.173668118503701,7.98615384615385,26,0.0340591201976659,0.0667558755874252
"33","2019-04-April","highCO2","OceanOptics1.6.7",0.0720612127865028,7.14482452341667,24,0.0147094334644212,0.0288304895902656
"34","2019-04-April","highCO2","UDA2182durfet",0.0694831305275276,7.1948717948718,78,0.00786741529567908,0.015420133979531
"35","2019-05-May","ambient","OceanOptics1.6.7",0.054966594084904,7.81207466740741,27,0.0105783259637854,0.0207335188890194
"36","2019-05-May","ambient","UDA2182durfet",0.151049965091102,8.02666666666667,30,0.0275778243969214,0.054052535817966
"37","2019-05-May","highCO2","OceanOptics1.6.7",0.104360739634214,7.153724822,26,0.0204668249172244,0.0401149768377598
"38","2019-05-May","highCO2","UDA2182durfet",0.0900673211940167,7.18588888888889,90,0.00949392925743496,0.0186081013445725
"39","2019-06-June","ambient","OceanOptics1.6.7",0.0183873909975189,7.84742646164706,17,0.00445959736837069,0.00874081084200655
"40","2019-06-June","ambient","UDA2182durfet",0.172269064067762,8.00375,24,0.0351642754527367,0.0689219798873639
"41","2019-06-June","highCO2","OceanOptics1.6.7",0.169074080460004,7.23000877389474,19,0.0387882542472222,0.0760249783245556
"42","2019-06-June","highCO2","UDA2182durfet",0.0649363176667162,7.20208333333333,72,0.00765281842790314,0.0149995241186902
"43","2019-07-July","ambient","OceanOptics1.6.7",0.0112875155795718,7.8063273665,6,0.0046081089389444,0.00903189352033102
"44","2019-07-July","ambient","UDA2182durfet",0.205561078861873,7.91625,8,0.0726768164056265,0.142446560155028
"45","2019-07-July","highCO2","OceanOptics1.6.7",0.15938720241693,7.2036123392,5,0.0712801238695548,0.139709042784327
"46","2019-07-July","highCO2","UDA2182durfet",0.178445379943523,7.22083333333333,24,0.036425010651559,0.0713930208770555
